City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,24.88,87,10,9.99,PN,1706813738
1,isangel,-19.55,169.2667,24.06,88,100,3.6,VU,1706813738
2,tazovsky,67.4667,78.7,-12.25,94,100,7.81,RU,1706813739
3,bodden town,19.2833,-81.25,25.55,62,20,5.66,KY,1706813739
4,ushuaia,-54.8,-68.3,18.81,34,40,7.72,AR,1706813604
5,whitehorse,60.7161,-135.0538,-14.57,55,100,5.14,CA,1706813710
6,grytviken,-54.2811,-36.5092,5.82,69,42,4.56,GS,1706813740
7,stanley,54.868,-1.6985,5.85,81,20,5.14,GB,1706813661
8,coari,-4.085,-63.1414,25.2,95,94,1.91,BR,1706813741
9,bethel,41.3712,-73.414,6.08,74,100,3.6,US,1706813741
10,pikeville,37.4793,-82.5188,13.51,51,0,0.89,US,1706813617
11,margaret river,-33.95,115.0667,17.75,87,3,3.24,AU,1706813742
12,sitka,57.0531,-135.33,1.94,60,100,5.66,US,1706813742
13,yellowknife,62.456,-114.3525,-11.44,100,100,8.23,CA,1706813574
14,cabedelo,-6.9811,-34.8339,31.37,66,30,5.22,BR,1706813742
15,daru,-9.0763,143.2092,25.62,92,100,4.49,PG,1706813743
16,avarua,-21.2078,-159.775,29.03,74,97,2.06,CK,1706813743
17,jayapura,-2.5333,140.7,23.66,89,100,2.55,ID,1706813743
18,palmer,42.1584,-72.3287,5.14,70,100,3.09,US,1706813744
19,ilulissat,69.2167,-51.1,-18.99,78,75,8.23,GL,1706813744
20,tiksi,71.6872,128.8694,-17.99,92,100,2.69,RU,1706813744
21,puerto natales,-51.7236,-72.4875,16.25,44,40,12.86,CL,1706813745
22,port alfred,-33.5906,26.891,22.88,95,70,2.24,ZA,1706813745
23,albany,42.6001,-73.9662,4.1,87,100,0.45,US,1706813745
24,punta arenas,-53.15,-70.9167,17.06,34,20,20.58,CL,1706813573
25,lapithos,35.3375,33.1792,7.16,71,6,0.42,CY,1706813746
26,caleta de carquin,-11.0925,-77.6267,26.14,74,90,4.38,PE,1706813746
27,port-aux-francais,-49.35,70.2167,6.55,84,98,3.33,TF,1706813746
28,suntar,62.1444,117.6319,-28.66,99,100,1.42,RU,1706813747
29,bilibino,68.0546,166.4372,-43.91,98,7,1.73,RU,1706813747
30,holualoa,19.6228,-155.9522,24.88,74,75,2.57,US,1706813747
31,west island,-12.1568,96.8225,26.99,89,100,5.14,CC,1706813747
32,waitangi,-43.9535,-176.5597,16.01,97,100,2.24,NZ,1706813599
33,olonkinbyen,70.9221,-8.7187,-6.92,62,28,6.31,SJ,1706813748
34,blackmans bay,-43.0167,147.3167,13.07,55,54,2.24,AU,1706813748
35,concepcion,-36.827,-73.0498,24.89,50,0,6.69,CL,1706813749
36,timmins,48.4669,-81.3331,-8.1,86,100,5.14,CA,1706813481
37,codrington,-38.2667,141.9667,13.6,77,7,4.31,AU,1706813749
38,novyy urengoy,66.0833,76.6333,-12.82,92,100,8.04,RU,1706813749
39,georgetown,5.4112,100.3354,27.96,82,20,2.06,MY,1706813567
40,edinburgh of the seven seas,-37.0676,-12.3116,18.4,88,93,7.37,SH,1706813598
41,ar rutbah,33.0381,40.2848,6.71,71,78,3.5,IQ,1706813750
42,namsos,64.4662,11.4957,0.95,60,40,9.26,NO,1706813750
43,horta,38.5333,-28.6333,17.8,89,20,3.09,PT,1706813751
44,talnakh,69.4865,88.3972,-16.55,85,100,7.53,RU,1706813751
45,keflavik,64.0049,-22.5624,2.95,100,100,4.12,IS,1706813751
46,bratsk,56.1325,101.6142,-26.73,99,94,1.03,RU,1706813751
